titulo,contenido,fuente,fecha,cluster,menores_identificados
Jubilados en la corte,,https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
"Abel Barrera Hernández*: Pobres, como siempre","El imponente paisaje de la Montaña    de Guerrero contrasta con las hondonadas del olvido y la pobreza abismal de sus pobladores. Son incuantificables los daños que por generaciones han heredado los hijos de la Lluvia y del Fuego. Sólo la siembra del tlacolol los mantiene ocupados dentro de su territorio. La carencia de los servicios básicos ahoga en la miseria a las comunidades rurales, que las condena a cargar con el estigma de su indianidad. La vida en la Montaña se torna insostenible: sin caminos seguros y maltrechos, con cosechas raquíticas, carentes de servicios médicos, con una niñez abandonada, sin agua en sus viviendas, con pisos de tierra y paredes derruidas. Familias que resisten el abandono secular de las autoridades.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,Sí
Víctor M. Toledo: Arturo Gómez-Pompa: principal precursor de la ecología en México,,https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Resistencia a antibióticos pone en riesgo la vida de 10 millones de personas,"A partir de 2050, se calcula que cada año alrededor de 10 millones de personas podrían morir por infecciones resistentes a los antibióticos, alertó el coordinador del Programa Universitario de Investigación sobre Riesgos Epidemiológicos y Emergentes de la UNAM, Samuel Ponce.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Magdalena Gómez: 11 años sin el paradero de los 43 normalistas de Ayotzinapa,"Desde la noche del 26 de    septiembre de 2014, y la madrugada del día siguiente, se desconoce el paradero de los 43 estudiantes de la Escuela Normal Rural Raúl Isidro Burgos de Ayotzinapa, desaparecidos por los rumbos de Iguala, Guerrero. A 11 años, el saldo es la ausencia de verdad y justicia.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
AL y el Caribe apuestan por erradicar conflictos: De la Fuente en la ONU,"América Latina y el Caribe apuestan por la paz y así debe mantenerse, aseguró el canciller mexicano Juan Ramón de la Fuente.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Alumno del CCH Sur asesina a otro estudiante y hiere a un trabajador,"Ayer, alrededor de la una de la tarde se desató un caos dentro del Colegio de Ciencias y Humanidades (CCH) Sur. Gritos, llantos y terror agudizaron la crisis que se vivió en el plantel luego de que un alumno vestido de negro, con capucha y una especie de cubrebocas decorado con una calavera agredió con un arma blanca a otro estudiante, quien perdió la vida en dicho suceso. Un trabajador de limpieza también resultó lesionado de gravedad al intentar detener al agresor.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
"Luis Hernández Navarro: Floriberto Díaz, 30 años de su partida","En 1996, en los Altos    de Chiapas, en uno de los más delicados momentos del Diálogo de San Andrés entre zapatistas y el gobierno federal, una banda de niños y jóvenes mixes de Tlahuitoltepec comenzó a tocar la obertura de 1812 de Piotr Ilich Chaikovsky. Estaba separada de las aulas donde las partes sesionaban por el cinturón de paz con el que la sociedad civil resguardaba las conversaciones. Pero, a pesar de la distancia, cañonazos, campanas y fanfarria de metales ocuparon momentáneamente el lugar de las palabras.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,Sí
José Blanco: El elefante,"El consenso sobre el    derrumbe de Estados Unidos (EU) se extiende por el orbe, pero nadie se alegra por ello: hará mucho daño y durará mucho tiempo. Continúa siendo el país más poderoso, pero la velocidad de su descenso es mayor a la del ascenso de China. Existen al menos nueve potencias nucleares; EU es sólo una. Su élite política siempre fue atrabiliaria con el mundo; habla con voz altisonante de la ley, mientras la irrespeta cada día. Lo peor de EU son sus asesinatos: hay pocos países donde no los haya cometido con impudicia. Es un gorila ciego y sordo, y su actual desguace lo ha envilecido aún más.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
"Asalto al cuartel de Madera, por la tiranía contra campesinos: informe","El 23 de septiembre de 1965 marcó el inicio de la historia de los grupos guerrilleros que surgieron en México en la segunda mitad del siglo XX. En esa fecha, el Grupo Popular Guerrillero (GPG), integrado por maestros rurales, campesinos, líderes agrarios y estudiantes, llevó a cabo la primera acción antigubernamental armada de carácter socialista: 13 guerrilleros intentaron tomar por asalto el cuartel del Ejército en el municipio de Madera, en la sierra de Chihuahua.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Frágiles políticas de memoria y reparación del daño: víctima,"Chihuahua, Chih., La doctora en historia Alicia de los Ríos, hija de Alicia de los Ríos Merino, integrante de la Liga Comunista 23 de Septiembre, desaparecida en 1978 por agentes del grupo paramilitar Brigada Blanca, difundió una carta pública, en el contexto de la conmemoración de los 60 años del asalto al cuartel de Madera.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,Sí
Subraya Ana Covarrubias el carácter público de  El Colegio de México,"El Colegio de México (Colmex) es una de las instituciones públicas que defiende el conocimiento, la ciencia y la cultura, e incide en el debate y las políticas públicas a través de la investigación de alto nivel, asegura Ana Covarrubias Velasco, nueva presidenta de esta casa de estudios para el periodo 2025-2030, quien enfatizó que uno de sus objetivos será quitar la percepción de que es una escuela privada.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Creará la Corte comités para procesar asuntos,"Como parte de su restructura interna, la SCJN creará comités integrados por ministros y personal técnico que servirán de primera instancia para revisar, depurar, emitir opiniones y buscar consensos sobre los asuntos que reciba el alto tribunal antes de llegar al pleno.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Estudiantes protestan ante cuartel en Iguala; exigen al Ejército dar información de los 43,"Chilpancingo, Gro., Normalistas e integrantes de la Federación de Estudiantes Campesinos Socialistas de México (Fecsm) lanzaron petardos y bombas molotov contra las instalaciones de la 35 Zona Militar, con sede en Chilpancingo, capital del estado.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
"Sheinbaum: decidirá la gente en esta reforma electoral, no las cúpulas","A diferencia de otras reformas electorales que se han hecho en la historia del país, ahora es distinto: “ya no son las cúpulas partidarias las que deciden, es la gente”, sostuvo la presidenta Claudia Sheinbaum Pardo.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
El clamor internacional es frenar  el genocidio en Gaza: Sheinbaum,"México llevará a la Asamblea General de la Organización de Naciones Unidas un mensaje de paz para Medio Oriente, acorde con la política exterior de nuestro país, sostuvo la presidenta Claudia Sheinbaum, quien condenó el genocidio que se comete contra Gaza: “de acuerdo con la comunidad internacional, de que pare este genocidio en Gaza. Esa es nuestra posición (…) no puede haber una agresión a la población civil como la que está habiendo en este momento”.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
"Inaceptables, las políticas de hambre y muerte contra niños y mujeres de la franja: Polonia","La embajadora de Polonia en México, Agnieszka Frydrychowicz-Tekieli, consideró que el presidente de Estados Unidos, Donald Trump, “es el mejor actor” para alcanzar un acuerdo con el líder de la Federación Rusa, Vladimir Putin, que conduzca a la paz en el este de Europa.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
